fips_state_code,state_name,fips_county_code,county_name
,,000,Wickenburg town
,,000,Willcox city
,,000,Williams city
,,000,Winkelman town
,,000,Winslow city
,,000,Youngtown town
,,000,Yuma city
,,000,Arkansas
,,001,Arkansas County
,,003,Ashley County
,,005,Baxter County
,,007,Benton County
,,009,Boone County
,,011,Bradley County
,,013,Calhoun County
,,015,Carroll County
,,017,Chicot County
,,019,Clark County
,,021,Clay County
,,023,Cleburne County
,,025,Cleveland County
,,027,Columbia County
,,029,Conway County
,,031,Craighead County
,,033,Crawford County
,,035,Crittenden County
,,037,Cross County
,,039,Dallas County
,,041,Desha County
,,043,Drew County
,,045,Faulkner County
,,047,Franklin County
,,049,Fulton County
,,051,Garland County
,,053,Grant County
,,055,Greene County
,,057,Hempstead County
,,059,Hot Spring County
,,061,Howard County
,,063,Independence County
,,065,Izard County
,,067,Jackson County
,,069,Jefferson County
,,071,Johnson County
,,073,Lafayette County
,,075,Lawrence County
,,077,Lee County
,,079,Lincoln County
,,081,Little River County
,,083,Logan County
,,085,Lonoke County
,,087,Madison County
,,089,Marion County
,,091,Miller County
,,093,Mississippi County
,,095,Monroe County
,,097,Montgomery County
,,099,Nevada County
,,101,Newton County
,,103,Ouachita County
,,105,Perry County
,,107,Phillips County
,,109,Pike County
,,111,Poinsett County
,,113,Polk County
,,115,Pope County
,,117,Prairie County
,,119,Pulaski County
,,121,Randolph County
,,123,St. Francis County
,,125,Saline County
,,127,Scott County
,,129,Searcy County
,,131,Sebastian County
,,133,Sevier County
,,135,Sharp County
,,137,Stone County
,,139,Union County
,,141,Van Buren County
,,143,Washington County
,,145,White County
,,147,Woodruff County
,,149,Yell County
,,000,Adona city
,,000,Alexander city
,,000,Alicia town
,,000,Allport town
,,000,Alma city
,,000,Almyra town
,,000,Alpena town
,,000,Altheimer city
,,000,Altus city
,,000,Amagon town
,,000,Amity city
,,000,Anthonyville town
,,000,Antoine town
,,000,Arkadelphia city
,,000,Arkansas City city
,,000,Ashdown city
,,000,Ash Flat city
,,000,Atkins city
,,000,Aubrey town
,,000,Augusta city
,,000,Austin city
,,000,Avoca town
,,000,Bald Knob city
,,000,Banks town
,,000,Barling city
,,000,Bassett town
,,000,Batesville city
,,000,Bauxite town
,,000,Bay city
,,000,Bearden city
,,000,Beaver town
,,000,Beebe city
,,000,Beedeville town
,,000,Bella Vista city
,,000,Bellefonte town
,,000,Belleville city
,,000,Ben Lomond town
,,000,Benton city
,,000,Bentonville city
,,000,Bergman town
,,000,Berryville city
,,000,Bethel Heights city
,,000,Bigelow town
,,000,Big Flat town
,,000,Biggers town
,,000,Birdsong town
,,000,Black Oak town
,,000,Black Rock city
,,000,Black Springs town
,,000,Blevins city
,,000,Blue Eye town
,,000,Blue Mountain town
,,000,Bluff City town
,,000,Blytheville city
,,000,Bodcaw town
,,000,Bonanza city
,,000,Bono city
,,000,Booneville city
,,000,Bradford city
,,000,Bradley city
,,000,Branch city
,,000,Briarcliff city
,,000,Brinkley city
